Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,yearID,teamID
MIN,70,92,39,430,162,1437.1,4.68,3.63,1.02,.293,69.5%,,,,4.67,,4.47,,6.6,1983,
LAD,79,83,27,420,162,1460.2,6.36,3.07,0.47,.289,72.4%,,,,3.17,,3.09,,22.0,1984,
NYY,87,75,43,449,162,1465.1,6.09,3.18,0.74,.296,72.5%,,,,3.80,,3.58,,21.6,1984,
CHC,96,65,50,432,161,1434.0,5.52,2.77,0.62,.295,70.9%,,,,3.75,,3.41,,21.2,1984,
PIT,75,87,34,408,162,1470.0,6.09,3.07,0.62,.277,75.3%,,,,3.11,,3.36,,19.6,1984,
DET,104,58,51,430,162,1464.0,5.62,3.01,0.80,.269,72.8%,,,,3.49,,3.74,,19.5,1984,
SEA,74,88,35,454,162,1442.0,6.07,3.86,0.86,.300,70.4%,,,,4.33,,4.04,,16.5,1984,
CAL,81,81,26,365,162,1458.0,4.65,2.93,0.88,.286,72.8%,,,,3.96,,4.04,,16.5,1984,
PHI,81,81,35,449,162,1458.1,5.58,2.76,0.62,.279,68.5%,,,,3.62,,3.39,,16.4,1984,
TOR,89,73,33,419,163,1464.0,5.38,3.25,0.86,.278,72.2%,,,,3.87,,3.97,,15.8,1984,
BOS,86,76,32,363,162,1442.0,5.79,3.23,0.88,.297,69.8%,,,,4.19,,3.89,,15.5,1984,
ATL,80,82,49,439,162,1447.0,5.34,3.27,0.76,.278,72.7%,,,,3.57,,3.80,,14.3,1984,
CHW,74,88,32,400,162,1454.1,5.20,2.99,0.96,.272,69.8%,,,,4.14,,4.07,,14.2,1984,
KCR,84,78,50,376,162,1444.0,4.51,2.70,0.85,.271,70.8%,,,,3.92,,3.95,,14.1,1984,
NYM,90,72,50,440,162,1442.2,6.41,3.57,0.65,.287,70.9%,,,,3.63,,3.53,,13.7,1984,
HOU,80,82,29,474,162,1449.1,5.90,3.12,0.57,.280,71.1%,,,,3.33,,3.35,,13.5,1984,
